row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,191105_AR_Panax_Pos.mzML Peak area,191105_AR_Ginkgo_Pos.mzML Peak area,191105_AR_Arnica_Pos.mzML Peak area,191105_AR_Cinchona_Pos.mzML Peak area,191105_AR_Salvia_Pos.mzML Peak area,
7,353.90127655423373,0.14134017,,,,4,,,,,,,1040.1191,5468.529,3682.9106,9286.237,2345.715,
737,354.01204515230626,0.35195076,,,,825,,,,,,,4868.4287,2930.3384,18325.783,0,32609.219,
6826,354.1075302126376,2.7756948,,,,836,,,,,,,0,0,0,0,19894.184,
11534,354.19044936035345,4.417485,,,,304,621,[M+NH4]+,,2,11534;11847,336.15739,0,0,1712.3665,0,12263.277,
9142,354.2119060343022,3.5943353,,,,897,495,[M+NH4]+,,2,9142;9143,336.17816,0,0,8553.725,0,0,
8864,354.28516266052077,3.4761689,,,,,,,,,,,11404.247,1634.1023,10460.482,0,10932.341,
15,354.9676897529006,0.16059296,,,,,,,,,,,6187.688,5267.407,2319.1362,10817.263,17764.42,
1031,355.0256485236482,0.5240599,,,,464,,,,,,,0,65408.363,9568.308,66893.35,5775.957,
2294,355.0559928410355,1.1062182,,,,768,,,,,,,0,428.29297,12379.603,4386.8994,3079.729,
846,355.07886004556013,0.4399772,,,,798,25,[M+K]+,,2,846;979,316.11509,0,11618.514,0,0,0,
2342,355.10189292465725,0.948907,,,,7,79,[M+H]+,,5,1968;2342;1988;1984;1962,354.09457,906.2498,386.82816,27020.75,1031701.9,32833.945,
4107,355.133000007974,1.8071568,,,,486,,,,,,,3408.2964,0,10033.049,0,0,
15590,355.15090066684337,6.0754824,,,,422,866,[M+Na]+,,4,15589;15590;15502;15639,332.1618,0,0,419833.78,0,0,
17240,355.1513315351667,6.627222,,,,576,953,[M+Na]+,,4,17240;17022;17024;17239,332.16237,0,0,354937.9,0,13688.822,
14278,355.1515775860606,5.4453235,,,,601,779,[M+Na]+,,2,14266;14278,332.1625,0,0,0,2684.2356,12313.153,
18948,355.1523777158019,7.153622,,,,576,1037,[M+Na]+,,2,18948;18947,332.16293,0,0,0,0,9452.392,
5017,355.17207673040707,2.1877882,,,,203,252,[M+Na]+,,5,5017;5021;5130;5143;5142,332.18322,0,12850.691,59239.742,938.7768,411324.72,
5838,355.17220919964666,2.319261,,,,,,,,,,,0,9757.061,17971.094,938.7768,22381.137,
3786,355.1727190523331,1.7072176,,,,709,187,[M+Na]+,,4,3773;3786;3792;3771,332.18324,0,35709.523,8550.483,0,70463.39,
7397,355.1727287820607,2.9562538,,,,836,382,[M+Na]+,,2,6970;7397,332.18331,0,7788.6577,27420.836,0,25454.111,
6416,355.1730902888009,2.647111,,,,761,338,[M+Na]+,,2,6416;6979,332.18364,0,18164.71,39014.957,0,11704.684,
6653,355.20127392951747,2.7312715,,,,378,,,,,,,0,0,0,872494.56,0,
5640,355.20127651364635,2.3865407,,,,704,,,,,,,0,0,0,163727.55,0,
10312,355.2013614364985,4.007877,,,,789,,,,,,,0,0,0,23165.18,0,
4740,355.20140084277926,2.0614262,,,,633,,,,,,,0,0,0,313845.28,0,
9047,355.201751550667,3.553397,,,,759,,,,,,,0,0,0,73618.086,0,
14734,355.2460137551088,5.725299,,,,846,809,[M+Na]+,,4,14748;14753;14733;14734,332.25664,0,0,20670.502,0,63846.695,
4911,356.0306389179404,2.2685058,,,,792,,,,,,,0,0,3022.8638,0,84170.16,
7885,356.05765177757917,3.1835334,,,,836,,,,,,,0,0,8996.715,109788.336,0,
3483,356.0665102655683,1.6208738,,,,673,,,,,,,0,0,0,0,18466.068,
7849,356.06659330949196,3.1576934,,,,836,,,,,,,0,69899.66,0,0,0,
6678,356.06672945502805,2.6540086,,,,836,,,,,,,0,438670.97,0,9247.746,1288.0248,
10675,356.1031571465811,4.144733,,,,469,,,,,,,0,0,0,0,22116.838,
1052,356.11836596702955,0.5685837,,,,882,,,,,,,3799.7058,1739.2473,79320.22,0,0,
8609,356.1409233364004,3.4254756,,,,836,,,,,,,0,0,0,0,17612.33,
2176,356.19116470973665,1.0411505,,,,,,,,,,,34698.008,0,0,0,0,
9075,356.24321806241943,3.5645893,,,,836,,,,,,,0,0,0,0,18812.164,
5412,357.0672823933744,2.4193175,,,,555,,,,,,,0,274207.06,0,249.74347,0,
3366,357.07577291996665,1.4334602,,,,,,,,,,,0,290.81073,0,0,23853.504,
3880,357.11324317661916,1.8945706,,,,,,,,,,,231.86505,0,0,0,21873.83,
3405,357.1177402553518,1.58212,,,,727,,,,,,,0,0,0,0,63339.555,
3040,357.11809297772277,1.411594,,,,274,130,[M+H]+,,2,3041;3040,356.11057,0,0,0,0,16123.658,
16142,357.1670708868607,6.3331676,,,,576,900,[M+Na]+,,3,16230;16142;16123,334.17777,0,0,1080326.1,707.67523,8677.645,
4009,357.1802025181489,1.7749679,,,,709,,,,,,,0,0,0,59777.965,0,
11096,357.2277135094641,4.2668567,,,,671,594,[M+H-H2O]+,,2,11096;11043,374.23131,0,3110.9297,0,0,0,
7371,358.09136857306135,2.9716291,,,,38,,,,,,,246.21211,16077.967,6631.385,0,755.1824,
11254,358.09174556440655,4.238309,,,,469,,,,,,,0,6846.993,0,0,245.45688,
9583,358.11024917517074,3.7562933,,,,937,,,,,,,0,4131.037,0,0,0,
3032,358.1497580396981,1.4105787,,,,208,,,,,,,0,27981.271,0,0,0,
16388,358.1777905678375,6.352865,,,,578,909,[M+NH4]+,,3,16388;16389;16402,340.14395,9375.99,0,0,0,0,
17085,358.2012955158939,6.56147,,,,833,,,,,,,0,0,0,0,429883.72,
613,358.99086274767694,0.28917438,,,,295,,,,,,,6816.4756,20864.773,0,16898.78,61830.4,
12370,359.05065977501584,4.7323465,,,,21,,,,,,,0,0,40809.035,0,39464.285,
3742,359.06085609108584,1.6892192,,,,486,,,,,,,0,0,5252.768,0,130844.56,
7720,359.0761675414425,3.1421986,,,,836,422,[M+H]+,,4,7689;7695;7725;7720,358.06913,0,0,0,0,49984.363,
7404,359.09902833478844,3.0991743,,,,836,,,,,,,1143.3663,16684.844,514.9923,3034.6697,20557.855,
7003,359.0991038980402,2.969357,,,,836,,,,,,,1143.3663,177800.23,514.9923,3034.6697,39045.805,
6088,359.1000077637428,2.5401793,,,,836,,,,,,,322.13864,183938.64,0,2316.0466,50777.89,
3612,359.10055140491784,1.5198066,,,,842,,,,,,,0,3061.357,62110.52,0,0,
1869,359.10181916816265,0.9301045,,,,387,,,,,,,0,463.56635,232998.52,0,0,
1731,359.11037575703637,0.85471386,,,,699,,,,,,,0,15594.569,0,0,0,
18635,359.11166007070784,7.0785666,,,,576,1018,[M+H]+,,1,18606,358.10474,0,0,883.2191,0,259360.42,
